Make,records,total_fatal,total_serious,total_minor,total_uninjured,incidents_with_fatal,incidents_with_serious,avg_fatal_per_record,prop_incidents_with_fatal,avg_serious_per_record
"Smith, Ted Aerostar",51,31,2,10,60,19,2,0.6078431372549019,0.37254901960784315,0.0392156862745098
Snow,32,3,0,2,30,2,0,0.09375,0.0625,0.0
Socata,63,44,8,26,71,20,6,0.6984126984126984,0.31746031746031744,0.12698412698412698
Stinson,348,66,59,118,406,35,49,0.1896551724137931,0.10057471264367816,0.16954022988505746
Swearingen,151,83,21,41,808,26,13,0.5496688741721855,0.17218543046357615,0.1390728476821192
TAYLORCRAFT,62,12,22,11,48,9,19,0.1935483870967742,0.14516129032258066,0.3548387096774194
Taylorcraft,321,66,75,109,258,47,63,0.205607476635514,0.14641744548286603,0.2336448598130841
Texas Helicopter,30,5,2,4,21,4,2,0.16666666666666666,0.13333333333333333,0.06666666666666667
Unknown,84,72,31,18,1172,26,13,0.8571428571428571,0.30952380952380953,0.36904761904761907
VANS,57,33,13,12,21,22,12,0.5789473684210527,0.38596491228070173,0.22807017543859648
Vans,72,31,21,19,45,23,15,0.4305555555555556,0.3194444444444444,0.2916666666666667
Waco,118,13,8,44,182,6,8,0.11016949152542373,0.05084745762711865,0.06779661016949153
Weatherly,87,10,7,16,55,10,7,0.11494252873563218,0.11494252873563218,0.08045977011494253
Wsk Pzl Mielec,77,16,8,18,40,16,7,0.2077922077922078,0.2077922077922078,0.1038961038961039
Yakovlev,34,24,5,2,22,15,3,0.7058823529411765,0.4411764705882353,0.14705882352941177
ZENITH,37,11,10,4,25,8,9,0.2972972972972973,0.21621621621621623,0.2702702702702703
